title,link,description,price,bedroom,area,latitude,longitude,posing time,update time,available time
"2 Bd on , Refrigerator, Stove, Hardwood Cabinets, Dishwasher, Modern B",http://boston.craigslist.org/gbs/fee/6082393002.html,"ID: 73640 Location: Tremont St., Boston (South End) Rent: $3200 / Month Available Date: 08/01/2017 Beds: 2 Baths: 1 Pet: No Pet Features: Dishwasher, Disposal, Exposed Brick, Hardwood Cabinets,...",$3200,2BR / 1Ba,available aug 1,42.340116,-71.078847,2017-04-10 12:04pm,2017-05-01  1:41pm,apartment
2 Bd on,http://boston.craigslist.org/gbs/nfb/6102226200.html,"ID: 1533169 Location: Saint Germain St., Boston (Back Bay) Rent: $3300 / Month Available Date: NOW Beds: 2 Baths: 1 Rent Includes: Hot Water Darby Jones Regatta Realty 2 Museum Way Cambridge, MA...",$3300,2BR / 1Ba,950ft2,42.3427,-71.0922,2017-04-24 12:13pm,2017-05-01  1:40pm,available apr 24
"2 Bd on , Pet Ok, Central Air, Hardwood Floors, Deck, Laundry in Unit",http://boston.craigslist.org/gbs/fee/6082388804.html,"ID: 73911 Location: Montgomery St., Boston (South End) Rent: $3500 / Month Available Date: 09/01/2017 Beds: 2 Baths: 1 Pet: Pet Friendly Features: Central Air, Deck, Granite Counter Tops, Hardwood...",$3500,2BR / 1Ba,available sep 1,42.344122,-71.072002,2017-04-10 12:01pm,2017-05-01  1:41pm,cats are OK - purrr
"1 Bd on , Fully furnished, Stainless steel appliances, Central heat, R",http://boston.craigslist.org/gbs/fee/6082374504.html,"ID: 83562 Location: Gray St., Boston (South End) Rent: $3000 / Month Available Date: 09/01/2017 Beds: 1 Baths: 1 Pet: No Pet Rent Includes: Electricity, Gas, Heat, Hot Water Features: Central Air...",$3000,1BR / 1Ba,available sep 1,42.345846,-71.070432,2017-04-10 11:54am,2017-05-01  1:41pm,apartment
"2 Bd on , Separate Kitchen, Fireplace (Decorative), Dishwasher, Dining",http://boston.craigslist.org/gbs/fee/6102187793.html,"ID: 1522749 Location: Beacon, Boston (Back Bay) Rent: $3600 / Month Available Date: 09/01/2017 Beds: 2 Baths: 1 Pet: No Pet Rent Includes: Gas, Heat, Hot Water Features: A/C, Carpet, Central Air,...",$3600,2BR / 1Ba,800ft2,42.349366,-71.094958,2017-04-24 11:52am,2017-05-01  1:41pm,available sep 1
"~~Spacious, Sunny Cambridgedport 2 Bed/2 Ba Condo ~~ Garage Parking",http://boston.craigslist.org/gbs/fee/6103836569.html,"ID: 2345395 Location: Henry St., CambridgeRent: $2750 / Month Broker Fee: One Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Dishwasher, Fireplace, Fireplace (Decorative), Hardwood...",$2750,2BR / 2Ba,1100ft2,42.355194,-71.106295,2017-04-25 12:38pm,email to friend,available apr 25
"2 Bd on , 2 Bath, Parking Included",http://boston.craigslist.org/gbs/fee/6103368715.html,"ID: 2345395 Location: Henry St., CambridgeRent: $2750 / Month Broker Fee: One Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included Raymond Ng  Cell  x 117 Office Phoenix...",$2750,2BR / 2Ba,1100ft2,42.355194,-71.106295,2017-04-25  6:18am,2017-05-01  9:35pm,available apr 25
"Cambridgeport, Bright, Modern Kitchen, Hardwood Floors, Parking Inc",http://boston.craigslist.org/gbs/fee/6068224678.html,"Location: Henry St., Cambridge Rent: $2650 / Month Broker Fee: One Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included Carl Davis  Carrington Real Estate Services...",$2650,2BR / 2Ba,1100ft2,42.355194,-71.106295,2017-03-31  1:28pm,2017-04-29  6:23am,available mar 31
"2 Bd on , 2 Bath, Parking Included",http://boston.craigslist.org/gbs/fee/6085382294.html,"ID: 2345395 Location: Henry St., CambridgeRent: $2650 / Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included Darby Jones Regatta Realty 2 Museum Way Cambridge, MA 02141 ",$2650,2BR / 2Ba,1100ft2,42.355194,-71.106295,2017-04-12 12:40pm,2017-05-01  1:41pm,available apr 12
"AMAZING UNIT w. 2 Bath, Parking Included, Front Patio, Fireplace!",http://boston.craigslist.org/gbs/fee/6086437706.html,ID: 2345395 Rent: $2650 / Month Broker Fee: One Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included Unbelievable condominium AVAILABLE NOW in Cambridgeport. Spacious and ,$2650,2BR / 2Ba,1100ft2,42.355212,-71.108195,2017-04-13  8:03am,2017-04-25  1:42pm,available apr 13
WALK to MIT / BU. CONDO TYPE UNIT. 2 BATHS. FIREPLACE. GARAGE. MAR 1,http://boston.craigslist.org/gbs/fee/6079112865.html,"ID: 2345395 Location: Henry St., CambridgeRent: $2650 / Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included ID: 2345395 Lovely, Large Condo Type Unit (1,100s.f +/-) in...",$2650,2BR / 2Ba,available apr 7,42.355212,-71.108195,2017-04-08 12:07am,2017-04-30 10:10am,apartment
WALK to MIT / BU. CONDO TYPE UNIT. 2 BATHS. FIREPLACE. GARAGE. NOW,http://boston.craigslist.org/gbs/fee/6098464784.html,"ID: 2345395 Location: Henry St., CambridgeRent: $2750 / Month Available Date: NOW Beds: 2 Baths: 2 Pet: No Pet Features: Parking Included ID: 2345395 Lovely, Large (1,100+/- s.f) Condo Type Unit in...",$2750,2BR / 2Ba,available apr 26,42.355212,-71.108195,2017-04-21  5:33pm,2017-05-01  1:00pm,apartment
"LARGE 2 BR in Cambridge, 2 BA, 2 PRIVATE PORCHES, 2 PARKING INCL",http://boston.craigslist.org/gbs/fee/6101406497.html,Contact Matt for a showing today at or mhohrath(at)bbarealtygroup.com Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated kitchen with dishwasher washer and...,$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-23  7:47pm,2017-04-30  9:52am,available sep 1
Beautiful 2 Bd Townhouse in Cambridgeport | Av 9/1 | 2 Pkg | Balcony,http://boston.craigslist.org/gbs/fee/6101408374.html,Contact Matt for a showing today at or mhohrath(at)bbarealtygroup.com Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated kitchen with dishwasher washer and...,$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-23  7:49pm,2017-04-30  8:13pm,available sep 1
Beautiful 2 Bd 2 Ba in Cambridgeport | Av 9/1 | 2 Pkg Spots | D/D,http://boston.craigslist.org/gbs/fee/6103570259.html,Contact Matt for a showing today at or mhohrath(at)bbarealtygroup.com Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated kitchen with dishwasher washer and...,$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-25 10:06am,2017-05-01  8:16pm,available sep 1
LUXURIOUS 2 Bd 2 Ba Townhouse in Cambridge! Near MIT! 2 Pkg! 2 Flrs!,http://boston.craigslist.org/gbs/fee/6103571979.html,Contact Matt for a showing today at or mhohrath(at)bbarealtygroup.com Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated kitchen with dishwasher washer and...,$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-25 10:07am,2017-05-01  8:16pm,available sep 1
SPACIOUS 2 Bed 2 Bath in Cambridge near BU & MIT ~ Avail Sept 1st!,http://boston.craigslist.org/gbs/fee/6099856838.html,"Thank you for your interest! Please call, text, or email Greg for a showing. Contact Info:   Cell: Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated...",$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-22  4:43pm,2017-04-30  5:50pm,available sep 1
"LARGE 2 BR, 2 BA, 2 PRIVATE PORCHES, PARKING INCL",http://boston.craigslist.org/gbs/fee/6101945586.html,Contact Matt for a showing today at or mhohrath(at)bbarealtygroup.com Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated kitchen with dishwasher washer and...,$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-24  9:29am,2017-05-01  8:21pm,available sep 1
MODERN Cambridge 2 Bed 2 Bath w/Parking Incl Avail Sept 1st MUST SEE!!,http://boston.craigslist.org/gbs/fee/6101228003.html,"Thank you for your interest! Please call, text, or email Greg for a showing. Contact Info:   Cell: Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated...",$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-23  5:26pm,2017-04-30  4:17pm,available sep 1
Stunning 2 Bed 2 Bath in Cambridge near BU w/Porch ~ Avail Sept 1st!!,http://boston.craigslist.org/gbs/fee/6101224107.html,"Thank you for your interest! Please call, text, or email Greg for a showing. Contact Info:   Cell: Renovated 2 bed 2 bath townhouse. This duplex unit features many amenities including: updated...",$3150,2BR / 2Ba,2000ft2,42.35531,-71.106502,2017-04-23  5:23pm,2017-04-30  5:45pm,available sep 1
"Luxury 2-Bed, 2-Bath condo located at Cambridgeport",http://boston.craigslist.org/gbs/fee/6103915325.html,"This luxury condo located at Cambridgeport Commons features 2 bedrooms and 2 full bathrooms. Unit is beautifully appointed featuring hardwood floors, washer/dryer in unit, updated kitchens and baths, ",$3000,2BR / 2Ba,1100ft2,42.355889,-71.107538,2017-04-25  1:20pm,email to friend,available sep 1
"**Cambridge, MIT,, 2 Bath, Parking , Hardwood floors, Dishwasher",http://boston.craigslist.org/gbs/fee/6103906130.html,"ID: 580113 Location: Chestnut St., CambridgeRent: $3150 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 2 Baths: 2 Pet: No Pet Features: Alarm, Dining room, Dishwasher, Disposal,...",$3150,2BR / 2Ba,2000ft2,42.355889,-71.107538,2017-04-25  1:15pm,2017-04-27  3:10pm,available sep 1
Harvard Sq Cambridge 8BR on Memorial Dr 3.5BTH avail 9/1 po3,http://boston.craigslist.org/gbs/fee/6060707510.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $9800 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$9800,8BR / 3Ba,3000ft2,42.356282,-71.114208,2017-03-26 10:09am,2017-04-24 12:39pm,available sep 1
"Riverfront, furnished, Memorial Drive, 2 mins. to Mass Pike access.",http://boston.craigslist.org/gbs/fee/6097850171.html,"ID: 2322864 Rent: $3300 / Month Broker Fee: One Month Available Date: 05/15/2017 Beds: 2 Baths: 1 Pet: Breed Restriction Rent Includes: Heat, Hot Water Features: Dishwasher, Dog & Cat Ok - Non-...",$3300,2BR / 1Ba,740ft2,42.356282,-71.114208,2017-04-21 11:30am,2017-04-29  2:35pm,available may 15
"8 Bed 3.5 Bath Home, Modern Kitchen & Bath, High Ceiling, Laundry..",http://boston.craigslist.org/gbs/fee/6081808438.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $9999 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$9999,8BR / 3Ba,3000ft2,42.356282,-71.114208,2017-04-09 11:08pm,2017-04-26  1:36am,available sep 1
"AWESOME unit w. High Ceiling, Modern Kitchen, Laundry in Unit & MORE!",http://boston.craigslist.org/gbs/fee/6094640871.html,"ID: 2395138 Rent: $4200 / Month Broker Fee: One Month Available Date: 05/01/2017 Beds: 3 Baths: 1 Pet: Cat Ok Features: Dishwasher, Disposal, Eat-in Kitchen, Hardwood Floors, High Ceiling, Laundry in ",$4200,3BR / 1Ba,900ft2,42.356282,-71.114208,2017-04-19  8:45am,2017-04-30  8:46pm,available may 1
Harvard Sq Cambridge 8BR on Memorial Dr 3.5BTH avail 9/1 po4,http://boston.craigslist.org/gbs/fee/6070796517.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $9800 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$9800,8BR / 3Ba,3000ft2,42.356282,-71.114208,2017-04-02 11:12am,2017-04-28  8:30am,available sep 1
"Huge 8 Bd 3.5 Bath on Memorial Ave. Harvard, Red Line, Memorial Dr",http://boston.craigslist.org/gbs/fee/6099447336.html,"ID: 2363934 Location: Memorial Ave., CambridgeRent: $9600 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Tatiana Gallego    Kenmore Properties Boston Some...",$9600,8BR / 3Ba,available sep 1,42.356282,-71.114208,2017-04-22 12:29pm,2017-05-01  4:42pm,apartment
"5 Bd on , 3.5 Bath, Modern Bath, Dishwasher, Central Air, Modern Kitch",http://boston.craigslist.org/gbs/fee/6068391305.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $10000 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 5 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$10000,5BR / 3Ba,3000ft2,42.356282,-71.114208,2017-03-31  3:09pm,2017-04-30  7:35am,available sep 1
"8 Bd on Mem Dr, 3.5 Bath, Elevator-in-Unit, Laundry, 9/1",http://boston.craigslist.org/gbs/fee/6080420310.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $9800 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$9800,8BR / 3Ba,3000ft2,42.356282,-71.114208,2017-04-08  9:49pm,2017-04-29  3:01pm,available sep 1
"Breathtaking 8Bd Duplex, 3.5BTh, Marble, A/C, Stunning, Rdy 9/1",http://boston.craigslist.org/gbs/fee/6081503171.html,"ID: 2343628 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $9800 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 8 Baths: 3.5 Pet: No Pet Features: A/C, Central Air, Dining...",$9800,8BR / 3Ba,3000ft2,42.356282,-71.114208,2017-04-09  6:20pm,2017-04-29 12:16pm,available sep 1
"2 Bd on , Modern Kitchen, Dishwasher, Microwave, Laundry in Unit, Disp",http://boston.craigslist.org/gbs/fee/6102797716.html,"ID: 2395139 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $3200 / Month Available Date: 05/01/2017 Beds: 2 Baths: 1 Features: Dishwasher, Disposal, Hardwood Floors, Laundry in Unit,...",$3200,2BR / 1Ba,700ft2,42.356282,-71.114208,2017-04-24  5:44pm,email to friend,available may 1
"2 Bd on , Hardwood Floors, Modern Kitchen, Microwave, Disposal, Separa",http://boston.craigslist.org/gbs/fee/6102799775.html,"ID: 2395141 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $3200 / Month Available Date: 05/01/2017 Beds: 2 Baths: 1 Features: Dishwasher, Disposal, Hardwood Floors, Laundry in Unit,...",$3200,2BR / 1Ba,700ft2,42.356282,-71.114208,2017-04-24  5:46pm,email to friend,available may 1
"3 Bd on , High Ceiling, Modern Kitchen, Disposal, Dishwasher, Hardwood",http://boston.craigslist.org/gbs/fee/6102795681.html,"ID: 2395138 Location: Memorial Dr., Cambridge (Harvard Square) Rent: $4200 / Month Available Date: 05/01/2017 Beds: 3 Baths: 1 Pet: Cat Ok Features: Dishwasher, Disposal, Eat-in Kitchen, Hardwood...",$4200,3BR / 1Ba,900ft2,42.356282,-71.114208,2017-04-24  5:43pm,email to friend,available may 1
"spacious , clean, sunny, minutes to MIT, redline , woodfloor,",http://boston.craigslist.org/gbs/fee/6103935809.html,"spacious , clean, sunny, minutes to MIT, redline , woodfloor, multi family house with eik study, large kitchen, d/w, minutes to Charles river, redline MIT utilities extra laundry next door. easy on...",$2000,2BR / 1Ba,available jun 1,42.35715,-71.107635,2017-04-25  1:32pm,email to friend,cats are OK - purrr
Nice 3BR in Cambridge --- FOR SEPT 1st --- Fair Price & Good Landlord,http://boston.craigslist.org/gbs/fee/6100967517.html,"Apartment Rental Experts Available: September 01, 2017 Fee: Full Fee Reference: #129301 Renovated 3 bed in Cambridgeport area near Central Square; eat in kitchen with dishwasher + disposal; nice...",$2975,3BR / 1Ba,available sep 1,42.357359,-71.108013,2017-04-23  2:21pm,2017-04-28  1:02pm,apartment
SEPT 1st ** (( Cambridge - CENTRAL 3BR )) ** Real Good Deal ** HWD FLR,http://boston.craigslist.org/gbs/fee/6100950973.html,"Apartment Rental Experts Available: September 01, 2017 Fee: Full Fee Reference: #127404 Renovated 3 bed in Cambridgeport area near Central Square; eat in kitchen with dishwasher + disposal; nice...",$2975,3BR / 1Ba,available sep 1,42.357359,-71.108013,2017-04-23  2:09pm,2017-04-28  1:04pm,apartment
Three Level Cambridgeport Townhouse With Parking,http://boston.craigslist.org/gbs/fee/6104165482.html,"This three level, 1000+ SF townhouse has in-unit laundry, a private patio, and one off-street parking spot INCLUDED. Hardwood floors throughout, open kitchen with island, and a finished basement. A...",$2500,2BR / 1Ba,1007ft2,42.357359,-71.108013,2017-04-25  3:46pm,email to friend,available jun 1
"Gorgeous 1 Bd, Pkg4Rent, Laundry Onsite, MODERN! Sunny, Ava 9/1",http://boston.craigslist.org/gbs/fee/6100572971.html,"ID: 2395465 Location: Putnam St., Cambridge (Cambridgeport) Rent: $2300 / Month Broker Fee: One Month Available Date: 09/01/2017 Beds: 1 Baths: 1 Pet: No Pet Features: Parking For Rent Gorgeous 1...",$2300,1BR / 1Ba,500ft2,42.35767,-71.108462,2017-04-23  9:25am,2017-04-30  5:05pm,available sep 1
"No Fee! Modern 1 bd w/ laundry, s/s, dw, fitness center, courtyard!",http://boston.craigslist.org/gbs/nfb/6083983193.html,Rent: $2850 / Month Broker Fee: No Fee Available Date: NOW Beds: 1 Baths: 1 Pet: Breed Restriction Sleek and modern 1 bed with every amenity: high-end designer kitchen with recycled glass...,$2850,1BR / 1Ba,600ft2,42.357767,-71.1077,2017-04-11  1:07pm,2017-04-27  4:58pm,available jun 8
Beautiful Updated Cambridge Penthouse,http://boston.craigslist.org/gbs/fee/6074228709.html,"Bright and airy penthouse condominium for rent in superb Cambridgeport location. Just moments away from Wholefoods market/ Memorial Plaza, the Mass Pike, Charles River, MIT, and so so much more. The...",$2500,2BR / 1Ba,820ft2,42.357856,-71.112458,2017-04-04  4:16pm,2017-05-01 12:14am,available may 1
"Full Service Luxury Hi Rise, Charles River/Skyline Views, Steps To MIT",http://boston.craigslist.org/gbs/fee/6065702923.html,INTERIOR FEATURES: Ã¢Â€Â¢ Fireplace* Ã¢Â€Â¢ Generous closet space Ã¢Â€Â¢ Heat Included! Ã¢Â€Â¢ Individually controlled heating Ã¢Â€Â¢ Private Balcony* Ã¢Â€Â¢ Hardwood floors Ã¢Â€Â¢ Wall to wall carpeting *(In select...,$2525,1BR / 1Ba,available mar 1,42.357926,-71.090963,2017-03-29  5:30pm,2017-04-28  4:33pm,cats are OK - purrr
"Studio on Memorial Dr., H/HW PK avail.",http://boston.craigslist.org/gbs/fee/6064538024.html,"ID: 605178 Location: Memorial Dr., CambridgeRent: $2010 / Month Broker Fee: Other Available Date: NOW Beds: Studio Baths: 1 Modern building with spectacular views of the Charles located steps from...",$2010,0BR / 1Ba,available mar 31,42.358095,-71.090592,2017-03-28 10:02pm,2017-04-25  9:35pm,apartment
June 1st move in --&gt; High End Renovation --&gt; 1/2 brokers fee,http://boston.craigslist.org/gbs/fee/6101000796.html,Cambridgport/Central Sq - High End Reno 2 Bedroom - 2 Bathrooms Cambridge / Cambridgeport / Central Square Available: 6/1/2017 || Fee: 1/2 Fee || Reference: #144064 Apartment Summary Located in the...,$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-23  2:43pm,2017-04-28  1:16pm,cats are OK - purrr
"NICE 2 BED AVAIL JUN 1ST NEAR MIT, CENTRAL SQ",http://boston.craigslist.org/gbs/fee/6098570067.html,"ID: 1433720 Location: Allston St., CambridgeRent: $3600 / Month Broker Fee: Half Month Available Date: 06/01/2017 Beds: 2 Baths: 1 Pet: No Pet Features: Deck, Granite Counter Tops, Hardwood Floors...",$3600,2BR / 1Ba,available jun 1,42.358099,-71.107264,2017-04-21  6:50pm,2017-04-27  9:04pm,apartment
--- Gut Renovated 2 Bed 2 Baths - Laundry in Unit -- JUNE 1st,http://boston.craigslist.org/gbs/fee/6104339039.html,"2 Bedroom and 2 Bath in Cambridge / Cambridgeport $3,600 Cambridge / Cambridgeport / Central Square Available: 6/1/2017 || Fee: 1/2 Fee || Reference: #144064 Apartment Summary Located in the...",$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-25  5:37pm,email to friend,cats are OK - purrr
2 FULL BATHROOMS IN-UNIT LAUNDRY MIT-CAMBRIDGEPORT 1/2 FEE JUN 1,http://boston.craigslist.org/gbs/fee/6096729240.html,"ID: 1406674 Location: Allston St., CambridgeRent: $3600 / Month Broker Fee: Half Month Available Date: 06/01/2017 Beds: 2 Baths: 2 Features: Central Air, Deck, Dishwasher, Disposal, Front Porch, Gas...",$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-20  2:53pm,2017-05-01  5:43am,apartment
( [Cambridgport/Central Sq - High End Reno 2 Bedroom - 2 Bathrooms] ),http://boston.craigslist.org/gbs/fee/6096602212.html,Cambridgport/Central Sq - High End Reno 2 Bedroom - 2 Bathrooms Cambridge / Cambridgeport / Central Square Available: 6/1/2017 || Fee: 1/2 Fee || Reference: #144064 Apartment Summary Located in the...,$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-20  1:39pm,2017-04-30  7:46am,cats are OK - purrr
Central Air. 2 FULL BATHROOMS. IN-UNIT LAUNDRY . JUNE 1,http://boston.craigslist.org/gbs/fee/6096732730.html,"ID: 1406674 Location: Allston St., CambridgeRent: $3600 / Month Broker Fee: Half Month Available Date: 06/01/2017 Beds: 2 Baths: 2 Features: Central Air, Deck, Dishwasher, Disposal, Front Porch, Gas...",$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-20  2:55pm,2017-05-01  5:43am,apartment
"Front and Back Porch.  Easy Walk to MIT, Central Square. JUNE 1",http://boston.craigslist.org/gbs/fee/6096737451.html,"ID: 1406674 Location: Allston St., CambridgeRent: $3600 / Month Broker Fee: Half Month Available Date: 06/01/2017 Beds: 2 Baths: 2 Features: Central Air, Deck, Dishwasher, Disposal, Front Porch, Gas...",$3600,2BR / 2Ba,available jun 1,42.358099,-71.107264,2017-04-20  2:58pm,2017-05-01  5:43am,apartment
"July 1st *** (( Large + Bright )) *** Parking, New Bathroom *** HEATED",http://boston.craigslist.org/gbs/fee/6100971032.html,"Apartment Rental Experts Available: July 01, 2017 Fee: Full Fee Reference: #129636 Clean and somewhat modern this unit boasts hardwood floors, coin-op laundry in the basement. Has a galley kitchen...",$2100,1BR / 1Ba,available jul 1,42.358263,-71.109585,2017-04-23  2:23pm,2017-04-28  1:02pm,cats are OK - purrr
SEPT 1st *** (( Best Unit in Building )) *** Bamboo Floors + NEW K&B +,http://boston.craigslist.org/gbs/fee/6100953911.html,"Apartment Rental Experts Available: September 01, 2017 Fee: Full Fee Reference: #127465 Here is a great 1 bed located in the Cambridgeport area of Cambridge. The unit features a totally redone modern ",$2300,1BR / 1Ba,available sep 1,42.358263,-71.109585,2017-04-23  2:11pm,2017-04-28  1:02pm,cats are OK - purrr
